Number of call,Time
1,22
2,22
3,22
4,24
5,22
6,21
7,22
8,21
9,21
10,22
11,22
12,22
13,21
14,21
15,20
16,22
17,22
18,22
19,22
20,20
21,21
22,22
23,20
24,21
25,21
26,22
27,21
28,21
29,21
30,21
31,21
32,22
33,21
34,22
35,22
36,21
37,21
38,25
39,21
40,21
41,22
42,22
43,22
44,21
45,21
46,21
47,22
48,22
49,21
50,21
51,22
52,22
53,22
54,21
55,21
56,20
57,22
58,22
59,21
60,21
61,21
62,22
63,22
64,20
65,22
66,21
67,23
68,21
69,21
70,21
71,22
72,22
73,21
74,21
75,20
76,21
77,21
78,21
79,21
80,20
81,22
82,22
83,20
84,21
85,22
86,20
87,20
88,22
89,21
90,21
91,21
92,21
93,21
94,21
95,22
96,21
97,21
98,21
99,21
100,21
101,21
102,21
103,21
104,21
105,21
106,22
107,22
108,21
109,22
110,21
111,21
112,22
113,21
114,21
115,21
116,21
117,21
118,22
119,21
120,21
121,21
122,21
123,21
124,21
125,21
126,21
127,21
128,22
129,22
130,21
131,21
132,21
133,21
134,22
135,21
136,22
137,20
138,20
139,21
140,21
141,21
142,21
143,21
144,21
145,21
146,21
147,20
148,21
149,21
150,22
151,22
152,20
153,20
154,21
155,22
156,22
157,21
158,20
159,21
160,21
161,21
162,21
163,22
164,21
165,20
166,21
167,20
168,21
169,21
170,22
171,21
172,21
173,20
174,20
175,21
176,21
177,21
178,22
179,21
180,21
181,21
182,21
183,22
184,21
185,21
186,21
187,21
188,21
189,22
190,21
191,21
192,22
193,21
194,21
195,22
196,21
197,21
198,21
199,22
200,22
201,23
202,22
203,20
204,21
205,22
206,21
207,21
208,22
209,21
210,22
211,21
212,21
213,22
214,21
215,22
216,21
217,21
218,22
219,21
220,21
221,21
222,21
223,21
224,21
225,21
226,21
227,22
228,23
229,21
230,22
231,21
232,21
233,21
234,21
235,21
236,21
237,21
238,21
239,22
240,20
241,21
242,21
243,21
244,21
245,21
246,22
247,21
248,22
249,22
250,22
251,22
252,21
253,22
254,21
255,22
256,22
257,21
258,21
259,21
260,22
261,21
262,21
263,21
264,23
265,20
266,21
267,22
268,22
269,24
270,22
271,21
272,22
273,21
274,22
275,21
276,22
277,21
278,21
279,22
280,22
281,21
282,21
283,22
284,21
285,21
286,21
287,21
288,22
289,21
290,20
291,21
292,21
293,21
294,21
295,21
296,21
297,21
298,21
299,20
300,22
301,21
302,21
303,22
304,21
305,21
306,21
307,21
308,20
309,21
310,20
311,21
312,21
313,21
314,21
315,21
316,21
317,22
318,21
319,23
320,21
321,21
322,21
323,21
324,21
325,21
326,21
327,23
328,21
329,21
330,20
331,21
332,22
333,21
334,23
335,21
336,20
337,20
338,20
339,21
340,21
341,21
342,21
343,21
344,21
345,21
346,21
347,21
348,20
349,21
350,22
351,21
352,22
353,21
354,21
355,21
356,21
357,22
358,22
359,21
360,21
361,22
362,20
363,21
364,21
365,21
366,21
367,21
368,21
369,22
370,22
371,21
372,20
373,21
374,21
375,21
376,21
377,21
378,21
379,23
380,21
381,21
382,21
383,22
384,20
385,21
386,21
387,22
388,21
389,21
390,20
391,21
392,20
393,21
394,21
395,20
396,22
397,22
398,21
399,20
400,21
401,20
402,20
403,22
404,22
405,20
406,22
407,21
408,20
409,21
410,22
411,21
412,21
413,20
414,21
415,21
416,21
417,21
418,21
419,21
420,21
421,21
422,21
423,21
424,21
425,21
426,21
427,21
428,20
429,21
430,22
431,21
432,21
433,24
434,21
435,21
436,22
437,21
438,22
439,21
440,21
441,20
442,22
443,21
444,21
445,20
446,20
447,21
448,21
449,20
450,21
451,24
452,21
453,21
454,21
455,21
456,22
457,20
458,20
459,21
460,21
461,21
462,21
463,20
464,21
465,21
466,21
467,20
468,21
469,22
470,22
471,22
472,21
473,21
474,21
475,21
476,21
477,22
478,28
479,22
480,23
481,21
482,25
483,20
484,22
485,23
486,21
487,22
488,25
489,24
490,22
491,22
492,20
493,21
494,22
495,22
496,20
497,20
498,20
499,20
500,22
