Number of call,Time
1,22
2,22
3,21
4,21
5,21
6,24
7,22
8,22
9,21
10,22
11,22
12,21
13,21
14,22
15,21
16,22
17,21
18,21
19,21
20,23
21,22
22,21
23,21
24,20
25,21
26,21
27,21
28,22
29,21
30,21
31,21
32,21
33,21
34,21
35,23
36,22
37,22
38,21
39,22
40,21
41,22
42,23
43,25
44,27
45,22
46,22
47,23
48,23
49,21
50,21
51,21
52,21
53,22
54,23
55,22
56,22
57,24
58,23
59,22
60,22
61,23
62,22
63,23
64,21
65,22
66,21
67,22
68,24
69,23
70,24
71,23
72,22
73,21
74,22
75,22
76,22
77,24
78,23
79,21
80,24
81,27
82,22
83,22
84,23
85,22
86,22
87,23
88,22
89,21
90,27
91,22
92,23
93,23
94,23
95,21
96,23
97,23
98,22
99,22
100,24
101,22
102,24
103,22
104,22
105,22
106,21
107,21
108,22
109,21
110,22
111,21
112,21
113,21
114,20
115,23
116,21
117,21
118,23
119,22
120,22
121,21
122,21
123,20
124,22
125,22
126,21
127,21
128,20
129,21
130,21
131,21
132,20
133,21
134,22
135,22
136,21
137,22
138,22
139,21
140,22
141,22
142,22
143,22
144,21
145,22
146,21
147,21
148,22
149,20
150,20
151,21
152,22
153,23
154,21
155,22
156,22
157,21
158,20
159,21
160,22
161,21
162,22
163,21
164,22
165,21
166,21
167,21
168,21
169,21
170,21
171,22
172,21
173,20
174,22
175,21
176,21
177,23
178,25
179,22
180,21
181,22
182,22
183,22
184,22
185,22
186,21
187,24
188,22
189,21
190,22
191,20
192,21
193,23
194,22
195,22
196,24
197,20
198,23
199,21
200,22
201,21
202,21
203,22
204,21
205,22
206,21
207,28
208,21
209,23
210,20
211,22
212,22
213,24
214,22
215,22
216,25
217,22
218,23
219,20
220,22
221,21
222,22
223,21
224,21
225,22
226,22
227,23
228,27
229,22
230,21
231,25
232,25
233,22
234,21
235,22
236,24
237,21
238,21
239,24
240,33
241,23
242,23
243,21
244,24
245,21
246,23
247,24
248,25
249,21
250,28
251,21
252,22
253,24
254,24
255,23
256,47
257,22
258,21
259,22
260,21
261,22
262,20
263,25
264,25
265,22
266,22
267,23
268,23
269,21
270,22
271,22
272,21
273,21
274,26
275,26
276,28
277,22
278,27
279,22
280,24
281,22
282,22
283,22
284,22
285,23
286,22
287,32
288,23
289,21
290,22
291,22
292,21
293,22
294,22
295,24
296,23
297,23
298,22
299,22
300,21
301,21
302,21
303,21
304,22
305,21
306,21
307,21
308,23
309,23
310,22
311,22
312,21
313,21
314,22
315,22
316,22
317,21
318,21
319,22
320,22
321,23
322,21
323,22
324,23
325,21
326,22
327,21
328,22
329,21
330,21
331,21
332,21
333,23
334,22
335,21
336,21
337,22
338,22
339,22
340,21
341,21
342,20
343,23
344,21
345,22
346,21
347,22
348,22
349,21
350,21
351,22
352,20
353,22
354,21
355,21
356,21
357,21
358,20
359,22
360,23
361,22
362,21
363,21
364,21
365,22
366,22
367,21
368,21
369,25
370,21
371,21
372,21
373,20
374,21
375,21
376,20
377,21
378,21
379,21
380,23
381,21
382,21
383,21
384,20
385,21
386,20
387,21
388,20
389,21
390,21
391,21
392,20
393,21
394,21
395,23
396,22
397,21
398,24
399,21
400,22
401,21
402,21
403,21
404,20
405,21
406,21
407,21
408,21
409,20
410,21
411,21
412,22
413,21
414,21
415,20
416,21
417,22
418,21
419,21
420,21
421,21
422,21
423,21
424,20
425,20
426,21
427,22
428,21
429,21
430,22
431,22
432,22
433,21
434,21
435,20
436,21
437,22
438,22
439,21
440,21
441,20
442,23
443,20
444,21
445,20
446,20
447,22
448,21
449,21
450,22
451,21
452,20
453,20
454,20
455,23
456,22
457,22
458,22
459,22
460,21
461,20
462,55
463,21
464,20
465,22
466,22
467,21
468,22
469,21
470,21
471,21
472,21
473,22
474,21
475,22
476,21
477,24
478,22
479,21
480,23
481,22
482,22
483,21
484,21
485,21
486,24
487,20
488,22
489,22
490,22
491,21
492,25
493,22
494,21
495,22
496,21
497,20
498,22
499,21
500,21
