Number of call,Time
1,36
2,22
3,23
4,22
5,22
6,22
7,22
8,23
9,23
10,22
11,21
12,22
13,21
14,22
15,23
16,21
17,22
18,22
19,22
20,23
21,22
22,22
23,21
24,21
25,21
26,21
27,22
28,22
29,23
30,35
31,22
32,22
33,21
34,22
35,26
36,24
37,21
38,21
39,24
40,22
41,29
42,22
43,22
44,34
45,22
46,22
47,22
48,21
49,21
50,22
51,22
52,22
53,22
54,22
55,22
56,23
57,22
58,21
59,23
60,22
61,23
62,26
63,23
64,24
65,52
66,21
67,21
68,21
69,22
70,22
71,22
72,22
73,21
74,21
75,22
76,23
77,22
78,22
79,22
80,21
81,21
82,22
83,22
84,22
85,21
86,22
87,23
88,21
89,22
90,22
91,23
92,22
93,22
94,24
95,23
96,22
97,22
98,22
99,23
100,24
101,21
102,23
103,22
104,22
105,24
106,22
107,22
108,24
109,24
110,27
111,23
112,22
113,21
114,23
115,23
116,21
117,22
118,21
119,24
120,21
121,21
122,21
123,21
124,22
125,22
126,22
127,24
128,21
129,21
130,24
131,23
132,22
133,23
134,22
135,23
136,21
137,22
138,24
139,22
140,21
141,24
142,22
143,23
144,22
145,24
146,21
147,23
148,21
149,21
150,22
151,22
152,21
153,22
154,23
155,21
156,21
157,22
158,26
159,22
160,22
161,23
162,22
163,22
164,22
165,22
166,24
167,24
168,22
169,21
170,22
171,25
172,23
173,21
174,21
175,22
176,21
177,21
178,21
179,22
180,21
181,21
182,21
183,21
184,22
185,21
186,22
187,21
188,23
189,21
190,22
191,22
192,21
193,22
194,21
195,22
196,22
197,23
198,21
199,21
200,21
201,22
202,25
203,21
204,23
205,26
206,23
207,24
208,23
209,21
210,23
211,23
212,22
213,22
214,22
215,23
216,22
217,21
218,23
219,21
220,21
221,22
222,22
223,21
224,21
225,22
226,21
227,22
228,22
229,21
230,21
231,20
232,21
233,21
234,23
235,21
236,23
237,22
238,22
239,22
240,23
241,21
242,21
243,22
244,21
245,21
246,21
247,21
248,21
249,21
250,22
251,21
252,21
253,21
254,22
255,22
256,21
257,21
258,22
259,21
260,21
261,21
262,22
263,21
264,21
265,22
266,21
267,21
268,21
269,21
270,22
271,21
272,22
273,22
274,21
275,21
276,21
277,22
278,21
279,21
280,21
281,21
282,22
283,21
284,22
285,21
286,21
287,21
288,21
289,21
290,21
291,23
292,22
293,24
294,21
295,25
296,20
297,22
298,22
299,21
300,22
301,21
302,21
303,22
304,26
305,23
306,24
307,22
308,22
309,21
310,22
311,23
312,21
313,22
314,22
315,21
316,22
317,26
318,22
319,20
320,23
321,21
322,22
323,22
324,22
325,23
326,22
327,21
328,21
329,21
330,21
331,22
332,22
333,21
334,21
335,22
336,21
337,22
338,22
339,22
340,22
341,21
342,22
343,20
344,21
345,21
346,21
347,21
348,21
349,21
350,21
351,22
352,22
353,22
354,21
355,22
356,20
357,23
358,22
359,21
360,22
361,22
362,23
363,21
364,21
365,21
366,22
367,22
368,22
369,21
370,21
371,37
372,22
373,22
374,22
375,23
376,22
377,21
378,21
379,22
380,21
381,22
382,22
383,24
384,22
385,21
386,21
387,24
388,25
389,22
390,21
391,20
392,24
393,23
394,22
395,25
396,22
397,22
398,24
399,21
400,21
401,22
402,21
403,21
404,20
405,24
406,22
407,21
408,21
409,22
410,22
411,22
412,22
413,22
414,24
415,21
416,21
417,21
418,21
419,21
420,22
421,22
422,21
423,22
424,22
425,21
426,23
427,21
428,21
429,21
430,21
431,22
432,21
433,21
434,21
435,22
436,22
437,22
438,21
439,21
440,22
441,21
442,21
443,22
444,23
445,22
446,23
447,22
448,22
449,23
450,22
451,23
452,21
453,23
454,22
455,21
456,21
457,21
458,23
459,24
460,22
461,24
462,22
463,22
464,22
465,27
466,22
467,22
468,21
469,21
470,21
471,21
472,22
473,21
474,22
475,22
476,21
477,23
478,22
479,22
480,25
481,22
482,22
483,23
484,22
485,24
486,21
487,27
488,21
489,21
490,24
491,22
492,22
493,24
494,21
495,22
496,21
497,21
498,22
499,25
500,23
