Number of call,Time
1,23
2,21
3,21
4,22
5,22
6,23
7,22
8,22
9,22
10,22
11,21
12,22
13,22
14,23
15,21
16,22
17,22
18,22
19,21
20,21
21,22
22,22
23,21
24,21
25,21
26,22
27,22
28,22
29,22
30,23
31,22
32,22
33,21
34,22
35,22
36,21
37,22
38,22
39,23
40,22
41,22
42,21
43,23
44,23
45,23
46,23
47,21
48,23
49,22
50,22
51,22
52,21
53,22
54,23
55,21
56,22
57,21
58,21
59,21
60,21
61,21
62,20
63,23
64,22
65,21
66,21
67,21
68,22
69,22
70,22
71,22
72,22
73,21
74,21
75,21
76,22
77,22
78,20
79,22
80,21
81,21
82,24
83,21
84,22
85,21
86,21
87,22
88,22
89,23
90,22
91,23
92,47
93,21
94,24
95,21
96,21
97,21
98,21
99,22
100,21
101,22
102,22
103,22
104,22
105,21
106,23
107,22
108,21
109,24
110,22
111,22
112,26
113,20
114,24
115,23
116,22
117,23
118,23
119,23
120,22
121,23
122,22
123,30
124,25
125,25
126,23
127,22
128,23
129,22
130,22
131,22
132,26
133,24
134,25
135,24
136,24
137,22
138,21
139,25
140,24
141,58
142,59
143,39
144,56
145,52
146,22
147,28
148,27
149,29
150,25
151,23
152,23
153,23
154,22
155,22
156,26
157,23
158,23
159,22
160,22
161,22
162,22
163,23
164,22
165,23
166,24
167,25
168,24
169,23
170,24
171,23
172,22
173,24
174,22
175,22
176,23
177,23
178,23
179,23
180,22
181,22
182,23
183,22
184,23
185,24
186,22
187,23
188,23
189,22
190,22
191,21
192,23
193,22
194,24
195,22
196,22
197,23
198,22
199,22
200,23
201,24
202,24
203,23
204,22
205,21
206,23
207,22
208,22
209,22
210,23
211,27
212,22
213,22
214,22
215,23
216,23
217,22
218,22
219,21
220,23
221,24
222,24
223,21
224,22
225,24
226,23
227,22
228,23
229,22
230,22
231,22
232,22
233,22
234,22
235,23
236,22
237,22
238,22
239,25
240,23
241,22
242,23
243,24
244,24
245,23
246,22
247,22
248,22
249,22
250,24
251,22
252,23
253,23
254,22
255,22
256,23
257,22
258,24
259,23
260,22
261,22
262,21
263,23
264,22
265,22
266,22
267,22
268,22
269,22
270,22
271,24
272,21
273,22
274,23
275,22
276,24
277,22
278,23
279,22
280,24
281,22
282,24
283,24
284,22
285,21
286,22
287,23
288,23
289,22
290,21
291,23
292,22
293,24
294,25
295,23
296,23
297,23
298,23
299,23
300,25
301,22
302,22
303,24
304,22
305,22
306,22
307,22
308,22
309,23
310,22
311,21
312,22
313,23
314,23
315,23
316,23
317,23
318,23
319,22
320,23
321,22
322,23
323,22
324,22
325,24
326,23
327,22
328,23
329,22
330,22
331,23
332,22
333,23
334,22
335,22
336,23
337,23
338,24
339,22
340,22
341,24
342,22
343,22
344,23
345,22
346,21
347,22
348,22
349,23
350,22
351,24
352,27
353,22
354,22
355,22
356,26
357,22
358,25
359,25
360,22
361,22
362,23
363,22
364,23
365,26
366,23
367,23
368,22
369,22
370,25
371,23
372,22
373,22
374,23
375,22
376,25
377,48
378,49
379,48
380,51
381,52
382,22
383,27
384,28
385,23
386,23
387,22
388,21
389,24
390,23
391,23
392,22
393,22
394,22
395,23
396,23
397,22
398,22
399,22
400,22
401,23
402,21
403,23
404,23
405,24
406,24
407,22
408,22
409,25
410,26
411,26
412,24
413,22
414,23
415,25
416,25
417,25
418,22
419,23
420,23
421,22
422,23
423,22
424,24
425,22
426,22
427,23
428,22
429,22
430,23
431,22
432,21
433,26
434,24
435,22
436,22
437,22
438,24
439,23
440,22
441,24
442,22
443,22
444,22
445,22
446,22
447,23
448,22
449,21
450,22
451,23
452,21
453,22
454,23
455,24
456,23
457,23
458,28
459,23
460,24
461,22
462,22
463,22
464,22
465,23
466,23
467,22
468,22
469,21
470,23
471,22
472,22
473,22
474,23
475,23
476,22
477,22
478,22
479,22
480,23
481,24
482,22
483,22
484,22
485,21
486,22
487,23
488,23
489,22
490,21
491,22
492,23
493,22
494,24
495,22
496,22
497,23
498,24
499,22
500,23
