Number of call,Time
1,7
2,7
3,8
4,8
5,6
6,7
7,10
8,6
9,7
10,7
11,6
12,8
13,6
14,8
15,11
16,8
17,7
18,6
19,6
20,7
21,7
22,7
23,7
24,9
25,7
26,8
27,7
28,8
29,8
30,7
31,8
32,6
33,8
34,8
35,10
36,10
37,7
38,7
39,6
40,7
41,6
42,7
43,7
44,7
45,7
46,6
47,7
48,7
49,7
50,7
51,6
52,7
53,6
54,7
55,6
56,6
57,7
58,7
59,7
60,7
61,7
62,9
63,6
64,7
65,7
66,6
67,6
68,7
69,7
70,7
71,7
72,10
73,7
74,6
75,6
76,8
77,7
78,6
79,6
80,9
81,8
82,7
83,7
84,7
85,7
86,7
87,7
88,6
89,7
90,7
91,6
92,8
93,7
94,7
95,8
96,7
97,7
98,7
99,7
100,7
101,6
102,6
103,8
104,6
105,6
106,7
107,7
108,6
109,7
110,6
111,6
112,7
113,7
114,7
115,6
116,6
117,6
118,6
119,6
120,6
121,8
122,6
123,6
124,6
125,6
126,6
127,7
128,7
129,6
130,6
131,7
132,6
133,6
134,7
135,7
136,7
137,6
138,7
139,7
140,7
141,7
142,6
143,6
144,7
145,8
146,7
147,7
148,7
149,6
150,6
151,7
152,7
153,6
154,6
155,6
156,7
157,6
158,7
159,6
160,6
161,7
162,6
163,7
164,6
165,6
166,6
167,7
168,7
169,6
170,6
171,7
172,6
173,6
174,7
175,6
176,7
177,6
178,6
179,7
180,6
181,6
182,7
183,6
184,6
185,7
186,7
187,7
188,6
189,6
190,8
191,6
192,6
193,7
194,6
195,6
196,6
197,7
198,6
199,7
200,6
201,7
202,6
203,6
204,6
205,6
206,6
207,6
208,7
209,7
210,6
211,7
212,6
213,7
214,7
215,7
216,7
217,8
218,10
219,9
220,8
221,7
222,7
223,7
224,8
225,8
226,8
227,7
228,7
229,7
230,8
231,7
232,7
233,7
234,8
235,7
236,81
237,31
238,20
239,70
240,22
241,7
242,7
243,11
244,7
245,10
246,7
247,8
248,7
249,7
250,6
251,7
252,7
253,6
254,7
255,7
256,6
257,7
258,7
259,6
260,7
261,9
262,8
263,7
264,7
265,8
266,7
267,7
268,7
269,7
270,7
271,7
272,8
273,6
274,7
275,7
276,8
277,7
278,7
279,7
280,6
281,7
282,7
283,7
284,7
285,7
286,7
287,6
288,6
289,7
290,7
291,7
292,6
293,6
294,6
295,7
296,7
297,7
298,6
299,6
300,8
301,7
302,7
303,7
304,7
305,7
306,7
307,7
308,7
309,7
310,6
311,6
312,6
313,7
314,7
315,7
316,6
317,7
318,7
319,6
320,6
321,40
322,29
323,25
324,38
325,22
326,26
327,9
328,7
329,9
330,9
331,9
332,9
333,36
334,8
335,18
336,21
337,26
338,8
339,6
340,7
341,6
342,9
343,7
344,7
345,7
346,7
347,6
348,7
349,7
350,7
351,7
352,6
353,6
354,6
355,7
356,7
357,7
358,7
359,6
360,7
361,7
362,6
363,7
364,7
365,7
366,6
367,7
368,7
369,7
370,7
371,7
372,7
373,6
374,8
375,8
376,6
377,6
378,6
379,6
380,7
381,7
382,7
383,7
384,6
385,6
386,6
387,6
388,7
389,7
390,7
391,6
392,6
393,6
394,6
395,6
396,6
397,6
398,6
399,7
400,7
401,7
402,7
403,6
404,6
405,7
406,7
407,7
408,7
409,7
410,7
411,6
412,6
413,7
414,9
415,7
416,8
417,7
418,7
419,6
420,6
421,7
422,7
423,7
424,7
425,7
426,7
427,7
428,8
429,7
430,8
431,6
432,7
433,6
434,6
435,7
436,6
437,6
438,7
439,7
440,7
441,6
442,7
443,7
444,6
445,6
446,7
447,6
448,6
449,6
450,9
451,7
452,6
453,7
454,7
455,7
456,6
457,7
458,7
459,7
460,9
461,6
462,6
463,8
464,36
465,26
466,23
467,24
468,13
469,7
470,9
471,8
472,7
473,49
474,8
475,8
476,8
477,7
478,7
479,8
480,7
481,8
482,7
483,7
484,7
485,7
486,7
487,8
488,8
489,7
490,8
491,7
492,7
493,7
494,6
495,7
496,7
497,6
498,6
499,6
500,8
