Number of call,Time
1,7
2,10
3,8
4,8
5,9
6,8
7,9
8,10
9,11
10,12
11,13
12,11
13,11
14,11
15,16
16,11
17,11
18,9
19,8
20,9
21,9
22,7
23,7
24,7
25,10
26,7
27,7
28,7
29,8
30,8
31,7
32,7
33,7
34,7
35,7
36,12
37,8
38,8
39,8
40,8
41,8
42,7
43,7
44,7
45,8
46,8
47,7
48,7
49,8
50,8
51,8
52,7
53,8
54,7
55,7
56,7
57,7
58,7
59,7
60,7
61,7
62,7
63,7
64,9
65,7
66,7
67,7
68,7
69,7
70,11
71,7
72,7
73,7
74,7
75,7
76,11
77,8
78,7
79,8
80,7
81,7
82,7
83,7
84,7
85,9
86,9
87,7
88,7
89,8
90,8
91,8
92,7
93,7
94,7
95,7
96,10
97,7
98,8
99,8
100,8
101,8
102,8
103,7
104,7
105,7
106,7
107,8
108,7
109,7
110,7
111,7
112,8
113,8
114,7
115,7
116,7
117,8
118,7
119,7
120,8
121,7
122,8
123,8
124,7
125,7
126,7
127,8
128,9
129,7
130,7
131,7
132,7
133,8
134,8
135,7
136,7
137,7
138,7
139,8
140,8
141,8
142,7
143,7
144,7
145,8
146,7
147,8
148,7
149,8
150,8
151,7
152,7
153,7
154,8
155,8
156,7
157,7
158,7
159,7
160,7
161,8
162,7
163,8
164,7
165,8
166,8
167,8
168,7
169,7
170,8
171,9
172,11
173,7
174,8
175,8
176,8
177,7
178,8
179,7
180,7
181,8
182,8
183,8
184,7
185,7
186,9
187,8
188,8
189,8
190,7
191,8
192,8
193,8
194,7
195,7
196,7
197,8
198,8
199,7
200,7
201,7
202,7
203,7
204,8
205,8
206,9
207,7
208,8
209,8
210,8
211,7
212,7
213,8
214,8
215,8
216,6
217,7
218,7
219,9
220,8
221,7
222,7
223,8
224,8
225,7
226,8
227,7
228,7
229,8
230,8
231,7
232,8
233,7
234,8
235,7
236,7
237,7
238,7
239,7
240,8
241,7
242,7
243,7
244,7
245,8
246,7
247,8
248,7
249,7
250,8
251,8
252,7
253,7
254,7
255,8
256,8
257,7
258,7
259,7
260,7
261,7
262,7
263,7
264,8
265,8
266,7
267,8
268,7
269,7
270,8
271,8
272,7
273,7
274,7
275,8
276,8
277,7
278,7
279,7
280,8
281,8
282,7
283,8
284,7
285,8
286,7
287,9
288,8
289,7
290,8
291,7
292,8
293,8
294,7
295,7
296,7
297,8
298,8
299,8
300,7
301,8
302,7
303,7
304,7
305,8
306,7
307,7
308,8
309,8
310,7
311,7
312,7
313,8
314,8
315,8
316,7
317,7
318,7
319,8
320,7
321,8
322,7
323,8
324,8
325,8
326,8
327,7
328,8
329,7
330,8
331,7
332,8
333,7
334,8
335,7
336,6
337,8
338,8
339,8
340,7
341,7
342,8
343,8
344,8
345,7
346,7
347,7
348,8
349,7
350,8
351,8
352,7
353,7
354,7
355,8
356,8
357,8
358,7
359,8
360,7
361,8
362,8
363,8
364,7
365,7
366,7
367,9
368,9
369,9
370,7
371,10
372,7
373,8
374,7
375,7
376,7
377,8
378,7
379,7
380,7
381,8
382,9
383,8
384,7
385,8
386,7
387,8
388,9
389,7
390,10
391,7
392,10
393,8
394,8
395,8
396,9
397,7
398,8
399,8
400,8
401,7
402,7
403,8
404,8
405,9
406,8
407,6
408,8
409,7
410,7
411,8
412,8
413,9
414,7
415,9
416,7
417,9
418,9
419,8
420,9
421,8
422,8
423,8
424,8
425,9
426,7
427,7
428,8
429,8
430,7
431,7
432,8
433,8
434,8
435,7
436,8
437,7
438,8
439,10
440,8
441,7
442,7
443,9
444,8
445,9
446,8
447,7
448,7
449,8
450,7
451,8
452,7
453,6
454,8
455,8
456,7
457,8
458,9
459,7
460,8
461,8
462,10
463,7
464,7
465,7
466,8
467,8
468,7
469,7
470,8
471,8
472,8
473,8
474,7
475,7
476,7
477,8
478,8
479,8
480,7
481,8
482,7
483,10
484,8
485,7
486,8
487,8
488,7
489,8
490,7
491,8
492,7
493,8
494,8
495,9
496,8
497,8
498,8
499,7
500,8
