Number of call,Time
1,8
2,7
3,7
4,7
5,8
6,7
7,8
8,7
9,7
10,8
11,8
12,7
13,7
14,7
15,9
16,8
17,8
18,8
19,7
20,7
21,9
22,7
23,7
24,7
25,7
26,8
27,8
28,8
29,8
30,7
31,7
32,7
33,8
34,7
35,8
36,7
37,8
38,7
39,7
40,7
41,7
42,7
43,7
44,7
45,7
46,8
47,7
48,8
49,7
50,7
51,7
52,7
53,7
54,8
55,7
56,7
57,7
58,8
59,10
60,8
61,7
62,7
63,7
64,7
65,7
66,7
67,8
68,7
69,7
70,7
71,8
72,7
73,7
74,7
75,7
76,8
77,7
78,8
79,7
80,8
81,7
82,7
83,7
84,8
85,7
86,7
87,8
88,12
89,9
90,8
91,8
92,9
93,9
94,7
95,7
96,7
97,8
98,8
99,7
100,8
101,7
102,7
103,8
104,7
105,8
106,7
107,7
108,7
109,7
110,7
111,7
112,7
113,7
114,7
115,8
116,8
117,9
118,8
119,8
120,7
121,7
122,7
123,8
124,6
125,8
126,8
127,7
128,7
129,8
130,7
131,7
132,8
133,9
134,7
135,7
136,91
137,34
138,33
139,17
140,28
141,67
142,8
143,11
144,7
145,10
146,7
147,7
148,6
149,7
150,7
151,7
152,7
153,7
154,7
155,7
156,7
157,7
158,7
159,7
160,7
161,7
162,7
163,7
164,7
165,7
166,7
167,10
168,8
169,8
170,7
171,7
172,7
173,8
174,7
175,7
176,7
177,7
178,6
179,7
180,7
181,7
182,7
183,7
184,7
185,8
186,7
187,7
188,7
189,7
190,8
191,7
192,7
193,7
194,7
195,8
196,7
197,7
198,7
199,7
200,8
201,7
202,7
203,7
204,7
205,7
206,6
207,6
208,7
209,8
210,7
211,7
212,7
213,7
214,7
215,7
216,7
217,7
218,8
219,6
220,7
221,7
222,7
223,7
224,7
225,8
226,7
227,7
228,7
229,7
230,9
231,8
232,8
233,7
234,7
235,8
236,7
237,7
238,7
239,7
240,7
241,7
242,7
243,7
244,7
245,7
246,7
247,7
248,7
249,8
250,7
251,7
252,7
253,7
254,7
255,7
256,7
257,7
258,8
259,7
260,7
261,7
262,8
263,9
264,8
265,7
266,7
267,7
268,7
269,8
270,7
271,7
272,7
273,7
274,7
275,7
276,7
277,7
278,8
279,7
280,8
281,7
282,7
283,7
284,7
285,7
286,7
287,7
288,8
289,8
290,7
291,7
292,7
293,7
294,7
295,7
296,8
297,7
298,7
299,8
300,8
301,7
302,7
303,7
304,7
305,7
306,7
307,9
308,7
309,7
310,7
311,7
312,7
313,7
314,7
315,7
316,7
317,7
318,7
319,7
320,7
321,6
322,7
323,7
324,8
325,7
326,7
327,7
328,7
329,7
330,7
331,7
332,6
333,7
334,7
335,7
336,7
337,7
338,7
339,8
340,9
341,7
342,7
343,7
344,7
345,6
346,6
347,8
348,7
349,7
350,7
351,7
352,7
353,7
354,7
355,7
356,7
357,7
358,8
359,7
360,7
361,7
362,7
363,7
364,7
365,8
366,7
367,7
368,8
369,9
370,7
371,7
372,7
373,7
374,7
375,7
376,7
377,7
378,6
379,8
380,8
381,7
382,8
383,7
384,7
385,6
386,7
387,7
388,7
389,7
390,7
391,7
392,7
393,7
394,7
395,7
396,6
397,8
398,7
399,6
400,7
401,7
402,6
403,7
404,7
405,7
406,7
407,6
408,7
409,7
410,7
411,6
412,6
413,6
414,7
415,8
416,7
417,7
418,6
419,6
420,7
421,7
422,7
423,8
424,7
425,8
426,7
427,7
428,7
429,7
430,6
431,7
432,7
433,7
434,8
435,6
436,7
437,8
438,7
439,7
440,8
441,7
442,7
443,7
444,7
445,7
446,7
447,6
448,7
449,7
450,7
451,7
452,7
453,7
454,10
455,8
456,7
457,7
458,7
459,6
460,6
461,8
462,7
463,8
464,7
465,6
466,7
467,7
468,7
469,7
470,7
471,6
472,7
473,7
474,8
475,7
476,7
477,6
478,7
479,7
480,7
481,8
482,7
483,7
484,7
485,7
486,9
487,6
488,7
489,7
490,8
491,7
492,7
493,8
494,8
495,8
496,9
497,7
498,7
499,8
500,7
