Number of call,Time
1,46
2,44
3,44
4,42
5,41
6,41
7,43
8,40
9,44
10,43
11,41
12,40
13,42
14,40
15,32
16,19
17,21
18,19
19,20
20,18
21,18
22,18
23,18
24,19
25,19
26,21
27,21
28,18
29,20
30,20
31,21
32,18
33,21
34,21
35,21
36,19
37,19
38,20
39,19
40,18
41,19
42,20
43,19
44,20
45,21
46,19
47,18
48,18
49,19
50,21
51,21
52,20
53,19
54,20
55,19
56,19
57,19
58,19
59,19
60,18
61,19
62,20
63,19
64,18
65,18
66,18
67,18
68,18
69,19
70,21
71,20
72,20
73,19
74,19
75,19
76,19
77,20
78,19
79,19
80,19
81,19
82,20
83,19
84,19
85,20
86,20
87,21
88,18
89,24
90,19
91,19
92,19
93,20
94,19
95,19
96,22
97,20
98,18
99,20
100,18
101,20
102,20
103,18
104,22
105,19
106,20
107,25
108,22
109,24
110,30
111,19
112,20
113,22
114,20
115,21
116,26
117,22
118,19
119,22
120,20
121,20
122,20
123,22
124,20
125,20
126,22
127,21
128,26
129,20
130,21
131,21
132,18
133,19
134,19
135,19
136,26
137,22
138,18
139,19
140,19
141,18
142,19
143,19
144,19
145,18
146,19
147,18
148,18
149,18
150,21
151,19
152,18
153,19
154,19
155,21
156,18
157,18
158,19
159,21
160,19
161,19
162,18
163,20
164,18
165,21
166,19
167,22
168,22
169,19
170,19
171,20
172,20
173,21
174,18
175,18
176,19
177,19
178,18
179,19
180,19
181,18
182,24
183,19
184,19
185,19
186,18
187,21
188,18
189,20
190,20
191,33
192,23
193,20
194,20
195,23
196,19
197,19
198,18
199,20
200,21
201,22
202,18
203,19
204,18
205,18
206,19
207,19
208,19
209,19
210,20
211,18
212,18
213,18
214,19
215,18
216,19
217,18
218,19
219,19
220,18
221,19
222,19
223,19
224,18
225,19
226,19
227,20
228,18
229,20
230,20
231,20
232,21
233,20
234,18
235,18
236,19
237,20
238,20
239,18
240,19
241,18
242,19
243,18
244,20
245,18
246,20
247,19
248,19
249,19
250,19
251,21
252,23
253,22
254,22
255,20
256,19
257,18
258,21
259,18
260,20
261,19
262,19
263,20
264,19
265,19
266,21
267,19
268,19
269,19
270,21
271,19
272,19
273,20
274,22
275,19
276,19
277,20
278,20
279,20
280,20
281,27
282,20
283,19
284,20
285,19
286,21
287,20
288,19
289,19
290,19
291,19
292,22
293,19
294,19
295,18
296,19
297,18
298,18
299,20
300,19
301,19
302,21
303,18
304,19
305,30
306,21
307,20
308,21
309,22
310,22
311,21
312,25
313,21
314,18
315,19
316,18
317,18
318,19
319,22
320,20
321,19
322,19
323,18
324,19
325,24
326,22
327,31
328,24
329,28
330,24
331,32
332,24
333,29
334,20
335,21
336,21
337,20
338,22
339,21
340,24
341,22
342,24
343,19
344,20
345,18
346,19
347,22
348,20
349,19
350,23
351,25
352,24
353,19
354,22
355,20
356,25
357,21
358,23
359,26
360,25
361,24
362,21
363,26
364,29
365,27
366,24
367,21
368,19
369,21
370,26
371,20
372,28
373,24
374,24
375,20
376,28
377,23
378,21
379,19
380,28
381,21
382,28
383,25
384,23
385,19
386,22
387,24
388,27
389,22
390,22
391,20
392,19
393,20
394,18
395,19
396,18
397,20
398,21
399,19
400,23
401,21
402,19
403,19
404,19
405,18
406,18
407,18
408,19
409,19
410,18
411,20
412,19
413,19
414,19
415,19
416,19
417,21
418,21
419,19
420,21
421,20
422,19
423,18
424,18
425,20
426,19
427,18
428,19
429,19
430,19
431,19
432,18
433,19
434,19
435,18
436,18
437,18
438,19
439,19
440,19
441,18
442,20
443,19
444,19
445,18
446,19
447,18
448,19
449,28
450,19
451,18
452,19
453,19
454,20
455,19
456,18
457,19
458,18
459,19
460,18
461,18
462,21
463,18
464,19
465,19
466,19
467,19
468,19
469,25
470,21
471,18
472,18
473,20
474,19
475,19
476,19
477,18
478,20
479,22
480,19
481,19
482,19
483,19
484,18
485,18
486,20
487,18
488,20
489,18
490,19
491,18
492,19
493,19
494,20
495,19
496,19
497,20
498,21
499,20
500,19
