Number of call,Time
1,23
2,13
3,15
4,14
5,17
6,12
7,16
8,23
9,17
10,12
11,14
12,11
13,11
14,13
15,13
16,12
17,24
18,22
19,15
20,11
21,13
22,22
23,20
24,15
25,25
26,13
27,15
28,14
29,21
30,22
31,19
32,13
33,15
34,12
35,12
36,10
37,13
38,13
39,10
40,14
41,13
42,20
43,11
44,13
45,11
46,12
47,13
48,14
49,12
50,21
51,13
52,22
53,21
54,13
55,13
56,16
57,13
58,13
59,13
60,12
61,11
62,12
63,13
64,12
65,13
66,12
67,13
68,21
69,12
70,12
71,11
72,13
73,13
74,22
75,14
76,21
77,12
78,13
79,14
80,11
81,12
82,22
83,14
84,21
85,12
86,13
87,11
88,22
89,12
90,11
91,21
92,23
93,14
94,21
95,13
96,22
97,21
98,11
99,12
100,12
101,12
102,12
103,13
104,12
105,13
106,22
107,11
108,14
109,11
110,12
111,14
112,21
113,11
114,11
115,19
116,11
117,12
118,21
119,11
120,10
121,10
122,13
123,11
124,11
125,22
126,13
127,13
128,21
129,21
130,12
131,21
132,14
133,22
134,22
135,12
136,11
137,13
138,14
139,20
140,12
141,13
142,14
143,12
144,12
145,12
146,12
147,14
148,12
149,11
150,13
151,13
152,12
153,14
154,22
155,13
156,12
157,12
158,13
159,10
160,12
161,14
162,12
163,13
164,13
165,23
166,14
167,11
168,12
169,12
170,13
171,12
172,13
173,12
174,21
175,13
176,10
177,22
178,14
179,12
180,14
181,13
182,23
183,12
184,11
185,24
186,14
187,22
188,23
189,14
190,12
191,22
192,11
193,22
194,13
195,12
196,23
197,14
198,13
199,22
200,12
201,12
202,14
203,14
204,12
205,12
206,14
207,11
208,14
209,13
210,13
211,20
212,12
213,11
214,12
215,11
216,22
217,12
218,22
219,12
220,14
221,13
222,12
223,22
224,13
225,14
226,14
227,22
228,13
229,11
230,12
231,21
232,13
233,12
234,12
235,13
236,12
237,22
238,12
239,21
240,14
241,11
242,13
243,23
244,22
245,22
246,11
247,10
248,11
249,13
250,13
251,13
252,12
253,11
254,13
255,13
256,23
257,10
258,13
259,11
260,13
261,12
262,22
263,24
264,12
265,14
266,22
267,21
268,22
269,14
270,12
271,17
272,13
273,23
274,15
275,21
276,13
277,22
278,21
279,13
280,12
281,22
282,13
283,12
284,20
285,11
286,12
287,21
288,13
289,10
290,21
291,14
292,11
293,12
294,13
295,11
296,13
297,22
298,13
299,12
300,22
301,14
302,13
303,19
304,12
305,13
306,13
307,11
308,11
309,12
310,20
311,20
312,20
313,12
314,11
315,12
316,10
317,20
318,20
319,11
320,11
321,12
322,11
323,20
324,12
325,23
326,13
327,11
328,12
329,13
330,12
331,12
332,14
333,10
334,11
335,10
336,11
337,20
338,12
339,12
340,12
341,13
342,12
343,12
344,11
345,21
346,12
347,11
348,10
349,13
350,14
351,12
352,14
353,13
354,14
355,21
356,12
357,21
358,12
359,13
360,21
361,11
362,13
363,21
364,22
365,21
366,14
367,13
368,11
369,12
370,11
371,23
372,12
373,14
374,22
375,13
376,12
377,13
378,12
379,21
380,13
381,12
382,13
383,11
384,13
385,11
386,11
387,13
388,14
389,12
390,12
391,13
392,22
393,13
394,22
395,14
396,11
397,12
398,13
399,12
400,11
401,21
402,14
403,11
404,13
405,13
406,13
407,13
408,12
409,12
410,12
411,13
412,12
413,13
414,13
415,14
416,11
417,12
418,12
419,23
420,12
421,12
422,13
423,11
424,12
425,13
426,22
427,13
428,22
429,21
430,22
431,13
432,14
433,12
434,12
435,11
436,12
437,13
438,16
439,13
440,12
441,14
442,13
443,10
444,13
445,11
446,13
447,12
448,14
449,12
450,22
451,11
452,12
453,13
454,21
455,11
456,22
457,13
458,13
459,13
460,21
461,11
462,14
463,12
464,11
465,13
466,21
467,13
468,13
469,13
470,14
471,12
472,21
473,13
474,12
475,12
476,11
477,12
478,12
479,11
480,13
481,11
482,21
483,11
484,11
485,22
486,22
487,23
488,23
489,13
490,13
491,13
492,13
493,13
494,12
495,21
496,21
497,22
498,13
499,11
500,12
501,11
502,14
503,21
504,11
505,21
506,11
507,20
508,11
509,12
510,10
511,11
512,13
513,10
514,11
515,11
516,11
517,11
518,10
519,12
520,12
521,20
522,11
523,11
524,20
525,11
526,13
527,20
528,12
529,21
530,22
531,12
532,12
533,12
534,21
535,12
536,12
537,13
538,12
539,13
540,20
541,13
542,13
543,22
544,13
545,11
546,13
547,12
548,12
549,11
550,13
551,12
552,12
553,12
554,12
555,21
556,12
557,23
558,11
559,12
560,13
561,14
562,14
563,12
564,13
565,22
566,22
567,21
568,14
569,13
570,21
571,12
572,12
573,13
574,14
575,22
576,21
577,12
578,14
579,12
580,11
581,13
582,11
