Number of call,Time
1,40
2,37
3,37
4,36
5,36
6,38
7,46
8,40
9,41
10,39
11,38
12,36
13,36
14,38
15,35
16,40
17,39
18,42
19,36
20,36
21,37
22,36
23,38
24,38
25,37
26,38
27,36
28,38
29,35
30,35
31,36
32,36
33,36
34,37
35,35
36,37
37,36
38,36
39,39
40,38
41,37
42,38
43,36
44,34
45,38
46,48
47,35
48,36
49,36
50,37
51,37
52,36
53,39
54,38
55,36
56,35
57,35
58,40
59,36
60,36
61,35
62,35
63,36
64,35
65,38
66,36
67,36
68,35
69,37
70,35
71,37
72,38
73,36
74,36
75,37
76,35
77,36
78,36
79,46
80,40
81,41
82,38
83,38
84,40
85,39
86,36
87,37
88,34
89,36
90,35
91,37
92,41
93,41
94,33
95,38
96,36
97,37
98,37
99,36
100,41
101,38
102,36
103,41
104,37
105,35
106,36
107,40
108,34
109,35
110,37
111,37
112,38
113,38
114,36
115,35
116,35
117,37
118,36
119,41
120,35
121,42
122,36
123,40
124,40
125,36
126,43
127,54
128,56
129,37
130,38
131,36
132,134
133,50
134,33
135,45
136,42
137,44
138,38
139,41
140,39
141,38
142,45
143,36
144,40
145,57
146,36
147,34
148,46
149,38
150,45
151,40
152,46
153,38
154,38
155,39
156,40
157,41
158,47
159,34
160,37
161,36
162,36
163,36
164,39
165,35
166,35
167,40
168,36
169,39
170,39
171,38
172,39
173,36
174,40
175,38
176,39
177,37
178,38
179,38
180,39
181,38
182,37
183,39
184,37
185,37
186,37
187,35
188,36
189,38
190,39
191,35
192,37
193,36
194,35
195,36
196,35
197,37
198,37
199,36
200,37
201,36
202,35
203,35
204,36
205,37
206,35
207,38
208,35
209,37
210,34
211,36
212,35
213,37
214,37
215,35
216,35
217,35
218,36
219,35
220,38
221,38
222,37
223,36
224,39
225,35
226,35
227,36
228,39
229,39
230,36
231,35
232,36
233,37
234,36
235,36
236,34
237,34
238,33
239,60
240,36
241,34
242,38
243,36
244,38
245,38
246,37
247,37
248,36
249,35
250,37
251,39
252,36
253,38
254,36
255,36
256,38
257,35
258,37
259,38
260,37
261,37
262,37
263,38
264,38
265,38
266,36
267,36
268,39
269,37
270,39
271,36
272,35
273,36
274,34
275,38
276,35
277,37
278,38
279,38
280,36
281,35
282,37
283,35
284,38
285,35
286,35
287,34
288,37
289,38
290,37
291,36
292,35
293,36
294,36
295,38
296,36
297,36
298,37
299,36
300,37
301,37
302,37
303,37
304,35
305,37
306,36
307,36
308,37
309,34
310,37
311,36
312,36
313,36
314,35
315,37
316,35
317,36
318,36
319,36
320,37
321,39
322,36
323,37
324,36
325,36
326,36
327,38
328,38
329,38
330,36
331,35
332,33
333,35
334,37
335,38
336,35
337,38
338,37
339,36
340,36
341,34
342,36
343,34
344,37
345,35
346,35
347,39
348,35
349,37
350,37
351,36
352,36
353,37
354,38
355,39
356,37
357,36
358,39
359,36
360,36
361,36
362,37
363,37
364,39
365,40
366,37
367,37
368,38
369,36
370,39
371,37
372,36
373,35
374,38
375,37
376,39
377,36
378,36
379,35
380,40
381,40
382,39
383,38
384,35
385,38
386,37
387,38
388,37
389,38
390,38
391,36
392,37
393,36
394,35
395,36
396,37
397,37
398,36
399,37
400,37
401,37
402,39
403,39
404,35
405,37
406,37
407,36
408,36
409,35
410,37
411,36
412,37
413,37
414,37
415,37
416,39
417,37
418,34
419,41
420,38
421,41
422,35
423,37
424,37
425,35
426,36
427,35
428,36
429,39
430,39
431,37
432,36
433,38
434,40
435,37
436,35
437,37
438,38
439,39
440,38
441,38
442,36
443,40
444,35
445,36
446,36
447,35
448,37
449,35
450,34
451,39
452,39
453,35
454,38
455,38
456,37
457,38
458,35
459,36
460,37
461,38
462,35
463,36
464,35
465,36
466,38
467,37
468,36
469,36
470,36
471,38
472,36
473,38
474,36
475,37
476,37
477,40
478,35
479,37
480,38
481,35
482,39
483,38
484,36
485,44
486,35
487,34
488,39
489,34
490,37
491,36
492,36
493,35
494,37
495,37
496,35
497,37
498,36
499,36
500,39
501,35
502,39
503,39
504,41
505,39
506,37
507,38
508,35
509,36
510,40
511,40
512,36
513,35
514,36
515,37
516,35
517,36
518,38
519,37
520,37
521,35
522,37
523,36
524,39
525,35
526,37
527,38
528,34
529,40
530,35
531,39
532,35
533,36
534,37
535,35
536,35
537,36
538,37
539,36
540,35
541,36
542,35
543,38
544,34
545,37
546,36
547,39
548,36
549,35
550,36
551,36
552,37
553,42
554,38
555,36
556,36
557,37
558,35
559,36
560,37
561,38
562,38
563,39
564,36
565,37
566,35
567,35
568,36
569,37
570,35
571,36
572,36
573,35
574,37
575,35
576,36
577,38
578,37
579,37
580,36
